01:59:54:676 [ALWAYS]	GUDE Logging Started
01:59:54:677 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
01:59:54:677 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
01:59:54:677 [ERROR]	Initialize resume cache pointer failure
01:59:54:677 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
01:59:54:678 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
01:59:57:339 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
01:59:57:339 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
01:59:57:340 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
01:59:57:340 [ERROR]	Initialize resume cache pointer failure
01:59:57:340 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
01:59:57:340 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
